listing_id,brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size
1,63921.0,for_sale,549000,4,4,5.0,705034.0,Ranburne,Alabama,36273.0,2919
2,3505.0,for_sale,175000,3,2,0.77,1793777.0,Fort Payne,Alabama,35967.0,1234
3,88491.0,for_sale,118500,3,1,0.14,1143001.0,Fort Payne,Alabama,35967.0,1276
4,108059.0,for_sale,489900,3,3,41.0,1729536.0,Henagar,Alabama,35978.0,1840
5,56401.0,for_sale,350000,3,2,18.0,1859295.0,Centre,Alabama,35960.0,1980
6,81685.0,for_sale,60000,3,2,2.08,1953174.0,Fort Payne,Alabama,35967.0,1980
7,108156.0,for_sale,85000,3,2,4.02,1263578.0,Fort Payne,Alabama,35967.0,1980
8,108156.0,for_sale,40000,3,2,2.13,1265826.0,Fort Payne,Alabama,35967.0,1980
9,81685.0,for_sale,60000,3,2,1.29,1998164.0,Fort Payne,Alabama,35967.0,1980
10,81685.0,for_sale,55000,3,2,1.28,1953175.0,Fort Payne,Alabama,35967.0,1980
11,100350.0,for_sale,65000,3,2,1.68,15311.0,Centre,Alabama,35960.0,1980
13,56400.0,for_sale,40000,3,2,2.07,1892488.0,Cedar Bluff,Alabama,35959.0,1980
15,56401.0,for_sale,12500,3,2,0.85,1947247.0,Centre,Alabama,35960.0,1980
16,56401.0,for_sale,12500,3,2,0.77,1947249.0,Centre,Alabama,35960.0,1980
17,100350.0,for_sale,62500,3,2,1.0,1758948.0,Centre,Alabama,35960.0,1980
18,56401.0,for_sale,14500,3,2,0.84,1865928.0,Centre,Alabama,35960.0,1980
19,56400.0,for_sale,10000,3,2,1.03,1866255.0,Cedar Bluff,Alabama,35959.0,1980
20,56400.0,for_sale,10000,3,2,1.03,1866104.0,Cedar Bluff,Alabama,35959.0,1980
21,56401.0,for_sale,20000,3,2,0.83,1948021.0,Centre,Alabama,35960.0,1980
26,81686.0,for_sale,20000,3,2,2.45,115327.0,Mentone,Alabama,35984.0,1980
29,88491.0,for_sale,12000,3,2,2.25,1910246.0,Fort Payne,Alabama,35968.0,1980
30,88491.0,for_sale,18000,3,2,2.0,1899134.0,Centre,Alabama,35960.0,1980
31,88491.0,for_sale,120000,3,2,2.87,1865269.0,Cedar Bluff,Alabama,35959.0,1980
32,16598.0,for_sale,19900,3,2,0.01,1863359.0,Centre,Alabama,35960.0,1980
33,16598.0,for_sale,19900,3,2,0.7,1863361.0,Centre,Alabama,35960.0,1980
34,16598.0,for_sale,19900,3,2,0.7,1863360.0,Centre,Alabama,35960.0,1980
35,16598.0,for_sale,19900,3,2,0.7,1863362.0,Centre,Alabama,35960.0,1980
