user_id,listing_id
1,10735
1,15209
1,17001
1,6755
1,15615
1,19760
1,4827
1,10338
1,18666
1,18270
1,15089
1,2420
1,22033
1,22751
1,19177
1,8312
1,14198
1,26801
1,26091
1,1495
1,1696
1,21027
1,12422
1,5060
1,14167
1,3913
1,2831
1,3258
1,22939
1,921
1,23786
1,25055
1,19478
1,23584
1,15314
1,21455
1,25093
1,13692
1,4558
1,4800
1,25099
1,14654
1,16061
1,9333
1,15423
1,22847
1,17051
1,16043
1,24421
1,22981
1,526
1,15590
1,21510
1,18328
1,19195
1,25344
1,19236
1,21481
1,20465
1,21452
1,10104
1,22245
1,16592
1,11639
1,26957
1,4884
1,16110
1,20937
1,21407
1,23036
1,11110
1,5416
1,19093
1,21846
1,24023
1,11830
1,15959
1,17588
1,24862
1,11618
1,19824
1,2354
1,20363
1,24776
1,21438
1,23900
1,16636
1,26812
1,2910
1,11929
1,14389
1,23306
1,7814
1,2992
1,25450
1,13343
1,10362
1,5536
1,15624
1,3886
1,3811
1,10622
1,14450
1,7512
1,8377
1,5127
1,10002
1,7959
1,6303
1,25209
1,16075
1,21682
1,21490
1,14492
1,24427
1,10255
1,23046
1,6104
1,20713
1,14315
1,13192
1,8077
1,20462
1,12810
1,24867
1,6496
1,27118
1,12627
1,8588
1,4696
1,4507
1,14823
1,7773
1,25053
1,13367
1,7568
2,7301
2,20178
2,13446
2,283
2,9537
2,1278
2,26125
2,24026
2,14843
2,15842
2,6272
2,13347
2,6017
2,16229
2,838
2,7979
2,15276
2,538
2,23037
2,5489
2,24275
2,22023
2,25236
2,15525
2,14834
2,26614
2,15743
2,26945
2,20012
2,8756
2,19984
2,17381
2,13108
2,441
2,1137
2,15761
2,18042
2,17194
2,22856
2,26245
2,16076
2,1824
2,6890
2,25803
2,27167
2,10418
2,25662
2,8413
2,7510
2,16455
2,20899
2,22287
2,21279
2,6666
2,25775
2,17196
2,25134
2,8673
2,4496
2,21993
2,6965
2,3015
2,19547
2,25944
2,25600
2,8802
2,9330
2,16183
2,24548
2,8047
2,22744
2,16866
2,15965
2,7428
2,16570
2,3206
2,16519
2,12296
2,4896
2,4027
2,21174
2,19739
2,8024
2,15687
2,26790
2,18011
2,3052
2,2718
2,2911
2,1050
2,19315
2,17828
2,3779
2,6121
2,8334
2,1489
2,5951
2,13238
2,3107
2,15223
2,9625
2,1016
2,24093
2,14144
2,10722
2,8490
2,22658
2,17674
2,7156
2,26018
2,6465
2,20378
2,8494
2,19447
2,25230
2,10360
2,3204
2,10628
2,18185
2,14171
2,17438
2,13092
2,16195
2,13109
2,21060
2,20068
2,588
2,20419
2,11313
2,22544
2,10891
2,19758
2,2020
2,1776
2,23857
2,7817
3,22305
3,24284
3,18883
3,17429
3,19482
3,18912
3,26408
3,18787
3,19459
3,4171
3,14062
3,14091
3,13625
3,23285
3,10358
3,25562
3,1708
3,6844
3,6829
3,9664
3,5917
3,19226
3,13333
3,22226
3,12638
3,15603
3,6934
3,19174
3,26136
3,14805
3,10552
3,6579
3,14513
3,6019
3,27259
3,12107
3,4929
3,21378
3,22569
3,4158
3,24855
3,19186
3,15941
3,26959
3,21708
3,3780
3,2459
3,22453
3,13693
3,10875
3,13580
3,17050
3,3603
3,5377
3,19264
3,15544
3,26502
3,19853
3,19614
3,11469
3,2316
3,6599
3,15921
3,18453
3,15816
3,13285
3,22774
3,21590
3,20304
3,12155
3,6197
3,15654
3,24688
3,14168
3,2890
3,17061
3,18381
3,2905
3,967
